Compound,Phototoxicity at 20 uM,Binary_PIF<2,SMILES
EBC-09144,Photoxicity,0,CNC(=O)C=1C=CC=2C(=O)C=3C=CC=CC3S(=O)(=O)C2C1
EBC-08965,No phototoxicity,1,COC=1C=CC(=CC1C)S(=O)(=O)NCCCN2C=CN=C2
EBC-426060,No phototoxicity,1,CC(NC(=O)C1=CC=C(C#N)N1C)C=2C(F)=CC=CC2Cl
EBC-09171,Photoxicity,0,CCN1C(=O)C=2C=CC=C3C(=CC=C1C23)S(=O)(=O)NC4CCCC4
EBC-08883,No phototoxicity,1,CC=1C=CC(=CC1)C2(CC3CC4CC(C3)(C2)C(=O)N5CCN(CCO)CC5)C4
EBC-06751,No phototoxicity,1,CC=1C=CC(NS(=O)(=O)C=2C=CC(Cl)=CC2)=C(C1)C(=O)O
EBC-08443,No phototoxicity,1,O=S(=O)(CC=1C=CC=CC1)N2CCN(CC=3C=CC=CC3)CC2
EBC-08697,No phototoxicity,1,CC(N(C)CC1=NC=CN1CC(F)(F)F)C=2C=CC=C(O)C2
EBC-384083,No phototoxicity,1,CC(C)(NC(=O)O[C@@H]1CN2CCC1CC2)C3=CSC(=N3)C=4C=CC(F)=CC4
EBC-06051,Photoxicity,0,COC=1C=CC(=CC1OC2CCCC2)C(=O)NC=3C(Cl)=CN=CC3Cl
EBC-08975,No phototoxicity,1,COC=1C=CC=2N(CCCC2C1)C(=O)C=3C=CC(=CC3)S(=O)(=O)N
EBC-551169,No phototoxicity,1,CC1=C2C(C3=C(CC(C)(C)CC3=O)N=C2NN1)C=4C=CSC4
